subnum,trial,group,expression,entropy
2291,7,1,1,11.6397324962451
2291,8,1,1,11.7506000267268
2291,9,1,2,11.8130753662854
2291,10,1,1,11.7106905039645
2291,11,1,1,11.4999692973951
2291,12,1,2,12.4675206605227
2291,13,1,1,10.9257835712826
2291,14,1,1,12.0118867485641
2291,15,1,2,11.8173153671472
2291,16,1,1,11.0700063085602
2291,17,1,2,12.0021078925945
2291,18,1,1,11.4777342315915
2291,19,1,2,12.2994108264412
2291,20,1,1,11.8041349766047
2291,21,1,2,11.4418441708324
2291,22,1,1,11.3019088245665
2291,23,1,2,11.7860540796985
2291,24,1,1,11.2663019089728
2291,25,1,2,11.4514850210876
2291,26,1,2,11.5960207064237
2291,27,1,2,11.605473221777
2291,28,1,1,11.9736721212953
2291,29,1,1,12.108932961257
2291,30,1,1,12.2205416816044
2291,31,1,2,11.8206248191537
2291,32,1,1,11.6928402143392
2341,1,1,1,11.5837769849797
2341,2,1,1,11.4740863075645
2341,3,1,2,11.6282554262034
2341,4,1,2,11.311955491812
2341,5,1,1,11.6871604736162
2341,6,1,1,11.9358756504581
2341,7,1,1,11.5881145775974
2341,8,1,2,11.30549560377
2341,9,1,1,11.4651521248275
2341,10,1,1,11.7366530483758
2341,11,1,2,11.3406778586762
2341,12,1,1,11.4496833510188
2341,13,1,1,11.7521472431864
2341,14,1,2,11.888197581127
2341,15,1,2,11.8636532132793
2341,16,1,1,11.5679379558463
2341,17,1,1,11.4485142524225
2341,18,1,2,12.1142184952188
2341,19,1,1,11.3192528743926
2341,20,1,2,11.4894285359159
2341,21,1,2,11.8972537616576
2341,22,1,2,11.435509339399
2341,23,1,1,11.6062745152631
2341,24,1,2,11.5310451182353
2341,25,1,2,11.703944561388
2341,26,1,1,11.8722415508399
2341,27,1,2,12.0343205567552
2341,28,1,2,12.3647570706916
2341,29,1,1,11.2795331738828
2341,30,1,2,11.736327407763
2341,31,1,1,11.7056882726777
2341,32,1,2,11.1535913433903
